row,year_film,year_ceremony,ceremony,category,name,film,winner
179,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,TRUE
180,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,FALSE
181,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,FALSE
182,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,FALSE
183,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,TRUE
184,1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,FALSE
185,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,FALSE
186,1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,FALSE
187,1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,TRUE
188,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,FALSE
189,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,FALSE
190,1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,FALSE
191,1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,FALSE
192,1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,TRUE
193,1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,FALSE
194,1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,TRUE
195,1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department,,FALSE
196,1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,FALSE
197,1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,FALSE
198,1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,TRUE
199,1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,FALSE
200,1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,TRUE
201,1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,FALSE
202,1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,FALSE
203,1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,FALSE
204,1931,1932,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,TRUE
205,1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,FALSE
206,1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,TRUE
207,1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,FALSE
208,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,TRUE
209,1932,1933,6,ACTRESS,May Robson,Lady for a Day,FALSE
210,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,FALSE
211,1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,TRUE
212,1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,FALSE
213,1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,FALSE
214,1932,1933,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,FALSE
215,1932,1933,6,ASSISTANT DIRECTOR,William Tummel (Fox),,TRUE
216,1932,1933,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,TRUE
217,1932,1933,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,FALSE
218,1932,1933,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,FALSE
219,1932,1933,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),,TRUE
220,1932,1933,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,FALSE
221,1932,1933,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,FALSE
222,1932,1933,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,FALSE
223,1932,1933,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,TRUE
224,1932,1933,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),,TRUE
